timestamp,snapshotDate,productId,productName,category,unitPrice,currentInventory,physicalInventory,historicalSales,salesVelocity7d,salesVelocity30d,inventoryAdjustments,replenishmentDelay,exceptionFrequency,shrinkageIndicator,reorderPoint,safetyStock,isAnomalyLabel,stockoutWithinNext7Days,stockoutOccurred
2026-01-01 00:00:00,2026-01-01,101,Organic Whole Milk 1L,Dairy & Fresh,65.0,14,4,26.4,28.0,22.0,-12,5,7,0.18,120,25,1,1,1
2026-01-01 03:00:00,2026-01-01,102,Greek Yogurt 400g,Dairy & Fresh,120.0,2,0,13.4,12.6,13.1,-8,5,6,0.2724,97,32,1,1,1
2026-01-01 06:00:00,2026-01-01,103,Artisan Sourdough Bread,Bakery,95.0,17,17,18.8,17.0,20.5,0,5,1,0.005,153,51,0,1,1
2026-01-01 09:00:00,2026-01-01,104,Sparkling Spring Water 500ml,Beverages,40.0,193,193,31.2,16.9,29.4,0,1,1,0.0201,102,73,0,0,0
2026-01-01 12:00:00,2026-01-01,105,Cold Pressed Orange Juice 1L,Beverages,180.0,27,27,14.0,12.4,14.6,0,6,2,0.049,123,36,0,1,1
2026-01-01 15:00:00,2026-01-01,106,Premium Arabica Coffee 250g,Packaged Foods,450.0,189,189,8.0,12.3,8.2,0,9,0,0.0475,93,20,0,0,0
2026-01-01 18:00:00,2026-01-01,107,Organic Rolled Oats 1kg,Packaged Foods,210.0,156,156,19.3,22.0,21.1,0,4,2,0.0544,136,52,0,0,0
2026-01-01 21:00:00,2026-01-01,108,Dark Chocolate Bar 70%,Snacks & Confectionery,160.0,174,174,21.2,20.4,21.8,-2,12,2,0.0798,315,54,0,0,0
2026-01-02 00:00:00,2026-01-02,109,Almond Granola Bites,Snacks & Confectionery,240.0,206,206,10.4,9.6,9.7,0,8,3,0.0068,101,24,0,0,0
2026-01-02 03:00:00,2026-01-02,110,Antibacterial Hand Wash 500ml,Personal Care,145.0,446,446,21.7,18.6,21.7,0,7,3,0.0909,205,54,0,0,0
2026-01-02 06:00:00,2026-01-02,111,Hydrating Shampoo 400ml,Personal Care,320.0,33,33,5.8,8.7,6.3,-2,6,1,0.0454,52,15,0,1,1
2026-01-02 09:00:00,2026-01-02,112,Biodegradable Dish Soap 1L,Household & Cleaning,190.0,1,1,14.1,13.2,13.8,0,3,2,0.0269,75,34,0,1,1
2026-01-02 12:00:00,2026-01-02,113,Microfiber Cleaning Cloths 4-Pack,Household & Cleaning,180.0,299,299,7.2,6.2,6.9,0,10,1,0.0661,86,17,0,0,0
2026-01-02 15:00:00,2026-01-02,114,USB-C Fast Charging Cable 2m,Electronics & Accessories,399.0,220,220,7.2,8.1,7.1,0,7,0,0.171,66,17,0,0,0
2026-01-02 18:00:00,2026-01-02,115,Wireless Optical Mouse,Electronics & Accessories,799.0,86,86,5.2,4.9,5.7,3,8,2,0.0384,59,14,0,0,0
2026-01-02 21:00:00,2026-01-02,116,Organic Whole Milk 1L (Batch 1),Dairy & Fresh,69.61,23,23,27.9,29.0,29.5,0,6,1,0.0343,250,73,0,1,1
2026-01-03 00:00:00,2026-01-03,117,Greek Yogurt 400g (Batch 1),Dairy & Fresh,115.82,279,66,17.1,16.7,17.3,-7,6,8,0.2016,146,43,1,1,1
2026-01-03 03:00:00,2026-01-03,118,Artisan Sourdough Bread (Batch 1),Bakery,108.22,48,48,11.6,10.2,11.8,0,1,4,0.0437,40,29,0,1,1
2026-01-03 06:00:00,2026-01-03,119,Sparkling Spring Water 500ml (Batch 1),Beverages,37.47,180,180,39.3,37.5,40.9,0,4,2,0.0324,265,102,0,1,1
2026-01-03 09:00:00,2026-01-03,120,Cold Pressed Orange Juice 1L (Batch 1),Beverages,185.78,102,102,14.0,13.2,12.7,0,5,1,0.0132,94,31,0,0,0
2026-01-03 12:00:00,2026-01-03,121,Premium Arabica Coffee 250g (Batch 1),Packaged Foods,424.09,41,41,7.7,7.6,7.0,0,5,3,0.0122,52,17,0,1,1
2026-01-03 15:00:00,2026-01-03,122,Organic Rolled Oats 1kg (Batch 1),Packaged Foods,218.88,62,62,10.8,9.4,11.2,0,7,1,0.0627,106,28,0,1,1
2026-01-03 18:00:00,2026-01-03,123,Dark Chocolate Bar 70% (Batch 1),Snacks & Confectionery,156.31,786,786,27.5,26.8,29.1,0,12,0,0.0957,421,72,0,0,0
2026-01-03 21:00:00,2026-01-03,124,Almond Granola Bites (Batch 1),Snacks & Confectionery,228.55,70,70,10.8,11.1,10.6,0,8,1,0.0519,110,26,0,1,1
2026-01-04 00:00:00,2026-01-04,125,Antibacterial Hand Wash 500ml (Batch 1),Personal Care,147.94,264,264,19.6,22.1,18.5,0,5,0,0.05,138,46,0,0,0
2026-01-04 03:00:00,2026-01-04,126,Hydrating Shampoo 400ml (Batch 1),Personal Care,355.26,249,52,8.1,8.1,7.9,-9,12,6,0.1242,113,19,1,1,1
2026-01-04 06:00:00,2026-01-04,127,Biodegradable Dish Soap 1L (Batch 1),Household & Cleaning,204.11,599,599,15.4,16.9,16.0,0,11,1,0.0755,216,40,0,0,0
2026-01-04 09:00:00,2026-01-04,128,Microfiber Cleaning Cloths 4-Pack (Batch 1),Household & Cleaning,162.12,115,115,3.1,2.8,3.4,0,14,3,0.1182,55,8,0,0,0
2026-01-04 12:00:00,2026-01-04,129,USB-C Fast Charging Cable 2m (Batch 1),Electronics & Accessories,398.15,118,118,7.0,7.5,7.3,-33,11,7,0.1428,98,18,1,0,0
2026-01-04 15:00:00,2026-01-04,130,Wireless Optical Mouse (Batch 1),Electronics & Accessories,832.06,141,141,4.0,8.5,3.8,-24,13,3,0.0384,58,9,1,0,0
2026-01-04 18:00:00,2026-01-04,131,Organic Whole Milk 1L (Batch 2),Dairy & Fresh,67.86,165,165,21.7,11.9,20.0,0,5,1,0.0343,150,50,0,0,0
2026-01-04 21:00:00,2026-01-04,132,Greek Yogurt 400g (Batch 2),Dairy & Fresh,121.57,8,8,6.4,7.2,6.3,0,2,2,0.044,27,15,0,1,1
2026-01-05 00:00:00,2026-01-05,133,Artisan Sourdough Bread (Batch 2),Bakery,90.37,2,2,12.9,12.7,12.9,0,1,2,0.051,44,32,0,1,1
2026-01-05 03:00:00,2026-01-05,134,Sparkling Spring Water 500ml (Batch 2),Beverages,36.27,391,391,33.1,29.1,35.0,-43,3,7,0.0258,192,87,1,0,0
2026-01-05 06:00:00,2026-01-05,135,Cold Pressed Orange Juice 1L (Batch 2),Beverages,188.24,82,82,8.9,9.2,8.5,0,7,2,0.0209,80,21,0,0,0
2026-01-05 09:00:00,2026-01-05,136,Premium Arabica Coffee 250g (Batch 2),Packaged Foods,464.14,184,7,6.5,8.1,6.6,-15,5,6,0.139,49,16,1,1,1
2026-01-05 12:00:00,2026-01-05,137,Organic Rolled Oats 1kg (Batch 2),Packaged Foods,220.67,19,19,15.5,15.8,15.4,0,5,0,0.0143,115,38,0,1,1
